suburb,date,ozone,pm2.5,latitude,longitude
Brisbane CBD,2020-01-08,,16.34,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-09,,18.525000000000002,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-10,,17.670833333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-11,,16.1375,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-12,,14.012500000000001,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-13,,10.966666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-14,,7.270833333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-15,,6.566666666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-16,,8.083333333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-17,,7.925,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-18,,3.8791666666666664,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-19,,6.254166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-20,,8.341666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-21,,9.066666666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-22,,8.191666666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-23,,6.6375,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-24,,7.058333333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-25,,6.083333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-26,,5.304166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-27,,6.166666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-28,,5.233333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-29,,6.054166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-30,,5.191666666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-01-31,,4.970833333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-01,,5.416666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-02,,5.295833333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-03,,6.754166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-04,,8.762500000000001,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-05,,8.387500000000001,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-06,,3.908333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-07,,5.195833333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-08,,4.675,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-09,,4.529166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-10,,4.941666666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-11,,5.375,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-12,,3.9875000000000003,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-13,,2.6041666666666665,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-14,,5.341666666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-15,,6.216666666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-16,,6.020833333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-17,,5.279166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-18,,5.154166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-19,,5.433333333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-20,,12.079166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-21,,5.9375,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-22,,5.516666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-23,,5.2625,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-24,,4.779166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-25,,4.7625,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-26,,4.908333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-27,,4.9624999999999995,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-28,,6.4375,-27.469763837138,153.0251484375912
Brisbane CBD,2020-02-29,,5.691666666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-01,,6.454166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-02,,6.2375,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-03,,5.45,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-04,,5.504166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-05,,5.829166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-06,,5.304166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-07,,5.220833333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-08,,6.5874999999999995,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-09,,4.958333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-10,,4.079166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-11,,5.016666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-12,,3.8208333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-13,,5.2,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-14,,3.9375,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-15,,3.2875,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-16,,5.741666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-17,,5.054166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-18,,5.1875,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-19,,5.1000000000000005,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-20,,5.258333333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-21,,7.308333333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-22,,8.858333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-23,,7.508333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-24,,6.1000000000000005,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-25,,4.4875,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-26,,4.829166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-27,,4.4624999999999995,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-28,,4.820833333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-29,,3.8666666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-30,,4.429166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-03-31,,5.45,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-01,,5.1000000000000005,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-02,,5.345833333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-03,,4.254166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-04,,4.754166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-05,,9.737499999999999,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-06,,6.141666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-07,,4.508333333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-08,,3.3375,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-09,,4.079166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-10,,3.6666666666666665,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-11,,4.516666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-12,,5.133333333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-13,,6.341666666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-14,,5.866666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-15,,5.7375,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-16,,4.783333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-17,,5.558333333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-18,,8.320833333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-19,,7.6499999999999995,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-20,,6.8875,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-21,,6.0125,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-22,,12.5375,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-23,,7.2250000000000005,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-24,,9.129166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-25,,8.254166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-26,,7.166666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-27,,6.029166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-28,,4.166666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-29,,4.570833333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-04-30,,7.829166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-01,,3.8125,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-02,,4.345833333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-03,,3.0,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-04,,5.541666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-05,,6.633333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-06,,6.05,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-07,,6.404166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-08,,6.8374999999999995,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-09,,6.529166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-10,,5.454166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-11,,4.641666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-12,,5.916666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-13,,5.745833333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-14,,7.641666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-15,,5.091666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-16,,3.0375,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-17,,3.7083333333333335,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-18,,3.975,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-19,,4.683333333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-20,,6.1000000000000005,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-21,,6.070833333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-22,,3.095833333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-23,,3.0208333333333335,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-24,,3.2083333333333335,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-25,,5.329166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-26,,7.745833333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-27,,5.958333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-28,,8.629166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-29,,7.404166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-30,,5.258333333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-05-31,,5.1875,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-01,,6.966666666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-02,,3.6208333333333336,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-03,,5.991666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-04,,7.233333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-05,,5.95,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-06,,10.2125,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-07,,9.1875,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-08,,10.475,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-09,,5.983333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-10,,4.933333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-11,,4.708333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-12,,5.045833333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-13,,7.066666666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-14,,5.054166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-15,,4.804166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-16,,5.325,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-17,,5.879166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-18,,5.245833333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-19,,4.383333333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-20,,5.854166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-21,,4.716666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-22,,3.8791666666666664,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-23,,2.766666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-24,,1.6500000000000001,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-25,,3.6,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-26,,5.4875,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-27,,6.020833333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-28,,4.983333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-29,,5.058333333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-06-30,,4.4818181818181815,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-01,,6.658333333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-02,,8.112499999999999,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-03,,10.908333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-04,,4.429166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-05,,4.320833333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-06,,6.920833333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-07,,8.387500000000001,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-08,,5.358333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-09,,3.4583333333333335,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-10,,5.904166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-11,,8.225,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-12,,6.491666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-13,,4.1625000000000005,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-14,,2.2375000000000003,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-15,,3.025,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-16,,1.8333333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-17,,4.666666666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-18,,6.845833333333334,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-19,,6.841666666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-20,,5.904166666666666,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-21,,7.2749999999999995,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-22,,6.233333333333333,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-23,,5.9125000000000005,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-24,,4.204166666666667,-27.469763837138,153.0251484375912
Brisbane CBD,2020-07-25,,3.8083333333333336,-27.469763837138,153.0251484375912
